DNI,Nombre,Apellido,Fecha de Nacimiento,ID Solicitud,Usuario_solicitante
39960413A,Leslie,Benkhe,01/08/1942,5065178,true
50242681P,Almeria,Aleevy,08/08/1948,5423018,false
27765134A,Andrus,Prott,18/07/1949,4403789,false
41902801P,Joe,Tilney,22/10/1951,3948034,true
30311432K,Zia,Dewerson,16/08/1932,3302993,false
89527599F,Francesca,Murphy,13/04/1956,4827551,true
49968786G,Pippy,Monkman,19/03/1963,9834646,false
53720122L,Tommie,Carous,06/11/1937,8465102,true
85598999V,Lemuel,Carse,01/03/1930,9775791,false
30011663R,Eyde,Danneil,02/06/1940,9897481,false
47751422P,Aeriel,Mellon,12/02/1937,4905286,true
32614688A,Nathanael,Mascall,23/02/1951,6649638,false
56888464M,Christalle,Kiddie,23/01/1939,4091686,false
29932947W,Lynnette,Abernethy,26/11/1957,2047681,true
57805723Z,Grata,Trinder,26/11/1937,2171677,true
45380357D,Valma,Hugonin,13/07/1933,5889299,false
99300015W,Jayne,Priditt,13/03/1948,8795328,true
95354804O,Aveline,Bensen,09/10/1942,1947192,false
51501189M,Jamill,Kamienski,03/07/1939,7362620,true
89978555Q,Lanette,Lebbon,26/12/1947,9295190,false
40172047N,Halie,Dmitrienko,25/04/1933,8658926,true
33708835B,Giacomo,Sedgmond,27/09/1934,1800478,false
28127898O,Livvy,Gaitone,28/04/1961,7280087,true
57459849M,Hymie,Leet,24/02/1945,9366930,false
46781379T,Lillis,Dick,29/06/1955,9580112,true
62387272I,Maison,McQuarter,24/07/1955,6844330,true
94937228L,Chrotoem,Radage,17/07/1958,9791100,true
74387541U,Maxim,Sallans,27/02/1938,3195476,true
63785840T,Rachel,Pulfer,08/11/1964,9171898,true
46579090U,Riane,Georges,06/09/1949,8200356,false
26762109F,Beckie,Breazeall,17/09/1960,6253401,true
60599260X,Miguelita,Titchard,17/12/1951,9433707,true
56938378G,Jessi,Bernaldez,06/04/1952,6029190,false
49087027U,Fredericka,Bachshell,26/03/1944,8356418,true
37558311L,Parke,Druce,20/08/1965,3122659,false
61059381T,Wynny,Gurwood,11/08/1957,4084720,false
87846822E,Fred,Gissing,27/03/1930,2594000,true
84291999X,Misha,Bortoloni,15/05/1937,3824809,true
81782896R,Nevsa,D'Alesco,15/02/1931,1393791,true
86456584C,Glynda,Strange,22/08/1953,4548131,true
23149039P,Farrand,Sambath,17/07/1938,8072560,true
77816079P,Alaine,Marsy,12/03/1961,6773419,true
32580074B,Gothart,Daniels,12/10/1939,4024120,true
73418964K,Olive,Ipsley,30/03/1936,2520857,true
69877256T,Genvieve,Bettlestone,07/07/1954,9199647,false
96632274G,Moise,Muspratt,13/03/1954,7631312,false
12901133B,Booth,Bockler,06/08/1957,5596292,true
45764571R,Alwin,Hickford,16/07/1953,9645830,false
30084600N,Leilah,Kmiec,14/01/1944,6599847,false
85498191E,Hetti,Doggrell,01/09/1940,2887235,false
50870075B,Andeee,Rennix,14/07/1931,7291280,true
62766141F,Dom,Kleis,08/06/1961,7019630,true
28480030R,Honoria,Vedenisov,25/02/1945,8482073,true
72553653O,Paige,Itzkovsky,18/02/1965,7795003,false
36194500Y,Chantal,Wilcockes,07/04/1947,9148689,true
93905622G,Jami,Poad,16/09/1946,8542469,true
12780966D,Hernando,Rough,02/12/1953,3328816,false
50596621H,Inglebert,Meneghi,18/04/1959,3210719,true
46787017N,Rosalind,Cluley,30/09/1939,1734024,true
72399352H,Jobina,Chinnery,31/10/1946,9308924,true
54077026E,Bryana,Garnall,13/12/1932,1769511,true
49822966V,Jenni,Scriver,07/01/1937,1463857,false
59514058W,Sigvard,Stickens,02/06/1937,9630230,false
56056923D,Sherm,Tuffield,11/08/1947,8812700,false
35233456P,Mirabelle,Bernet,26/01/1953,9150580,true
58103459J,Gifford,Whiteson,03/02/1961,3654800,false
32881859Z,Patrizia,Trencher,04/12/1932,7020721,false
96314670J,Kelsey,Cockrem,16/06/1940,6633812,true
56426120K,Petronilla,Inde,07/11/1936,3276320,true
59987154U,Shellysheldon,Twelvetrees,21/09/1948,8062276,false
90300089N,Jasper,Hutcheson,08/10/1961,6861100,false
83593501U,Derril,Phlippsen,23/04/1961,4714713,true
50748041D,Abagael,Siveter,03/07/1944,6638495,true
85284668N,Correna,Bowie,27/03/1950,5427762,false
20257453G,Kassia,Orleton,31/07/1940,1910865,true
14916785V,Hort,Bromilow,05/06/1935,8785193,true
17071826I,Matias,Tennison,11/08/1947,8698052,true
73789620O,Annalee,Larvent,26/12/1941,5575200,true
40179071X,Dolley,Mackieson,24/06/1936,4422423,false
72447203C,Perle,MacAnelley,16/01/1932,5888390,true
48098561N,Shirl,Picopp,02/06/1957,9451122,false
65567157M,Austina,Viggars,16/02/1963,2850414,true
24221433L,Brew,Insley,21/02/1932,4801060,false
47164641A,Chrotoem,Bellson,16/11/1948,9280710,false
16847139B,Umberto,Dockreay,18/03/1965,1303138,true
65203616F,Leeland,Megarry,12/05/1937,5015110,false
12183456T,Biddie,Spier,25/01/1956,2180920,false
85625121V,Nelly,Robardley,19/01/1962,1699411,false
79648583V,Arturo,Arbon,08/08/1932,6468850,false
68169953N,Phillida,Burden,16/04/1963,7585331,false
29460746I,Ashely,Twatt,17/05/1947,8495646,false
65113052D,Lulita,Scrace,17/07/1938,6527931,true
60213931K,Helaine,Sketch,18/08/1954,4931088,true
58418824R,Tull,Rathmell,23/04/1941,7996494,false
99969042W,Rodi,Halcro,21/10/1955,7244290,true
88354291U,Welby,Sorey,09/03/1952,4887498,true
32691114U,Magdalene,Dils,29/06/1946,7409627,true
96821278Z,Harold,Verheyden,24/02/1964,2171484,false
80296015O,Hillery,Lindermann,06/06/1944,9014831,false
12048849J,Elsbeth,Yerbury,21/11/1963,6079613,false
61881795K,Michell,Southcomb,29/04/1960,6550927,false
10764659J,Farlie,Chadburn,31/12/1946,2670930,false
13317811S,Debera,Luddy,13/11/1950,4788191,false
29219027K,Danielle,Worswick,07/01/1962,8634846,true
67071313Y,Regina,Freeth,29/01/1950,1579607,false
21599438V,Kaye,Vales,10/06/1934,8890883,false
77401164T,Licha,Fredson,27/06/1962,5987925,true
11097904P,Heath,Raecroft,11/03/1942,7644489,true
63869538V,Marsha,Beyer,01/01/1932,9973214,false
68841386Q,Mahala,Fernandes,26/09/1936,7139032,true
36099149B,Chrystal,Gosden,28/04/1954,6398376,true
68625346F,Jazmin,Cootes,05/07/1931,3012984,false
97198204T,Fredelia,Greger,18/11/1953,5881609,false
43503170C,Florry,Tupman,26/02/1948,8389423,true
31277709S,Catherine,Lapre,24/11/1942,7325624,false
94156897J,Anitra,Brightwell,07/09/1944,6780940,true
48535117C,Lonni,Mutch,08/02/1936,2524271,false
27828639V,Claire,Cornwall,06/08/1962,3675709,true
49807769L,Denna,MacDonough,15/09/1935,8324480,true
62068988J,Mendie,Lacrouts,11/08/1960,4878481,true
30520450B,Hedy,Darnody,13/11/1936,9893222,false
41461904M,Modesty,Haskey,09/03/1950,8838452,false
97016472Y,Em,Humphrys,18/02/1958,6608430,true
65152324V,Catlee,Pyburn,21/11/1942,6901888,true
85724993W,Karel,Granleese,27/09/1956,1899630,true
27402095O,Yalonda,Lorentzen,04/02/1962,4853081,false
24003616H,Nelli,Chateau,25/12/1965,6511785,false
17819631Y,Neila,Jerdein,01/11/1930,8282912,true
91917626T,Amabel,O'Bruen,13/10/1949,6550843,true
45411931I,Aurlie,Trunkfield,13/10/1947,8491825,false
21819103H,Kassey,Mantione,18/02/1965,9532018,true
72233981C,Garry,Nacey,15/02/1939,6194694,false
76568971J,Cristiano,Fugere,17/12/1943,1604360,false
50547112Y,Mirelle,Revely,10/04/1956,5723537,true
51396941Q,Wakefield,Hise,12/06/1936,5817121,true
71661796I,Corabel,Friedank,17/02/1940,8144597,false
89689185D,Ekaterina,Clericoates,19/08/1933,4000486,true
15244727G,Sandye,Clemenzi,22/07/1940,5731501,false
33919118D,Anna-diane,Darcy,16/04/1945,8157686,false
29631947Q,Blanche,Gever,27/03/1933,3474641,true
25245451O,Georges,Fake,11/11/1934,1509674,false
83719287L,Taber,Culverhouse,07/04/1957,7882758,true
13551478Z,Rosabella,Scoggan,05/12/1932,9969336,true
59953009B,Kalvin,Bernadon,04/08/1942,5979920,true
78339378X,Nona,Geake,17/11/1947,6794870,true
75012930L,Geraldine,Haly,22/07/1937,6375820,true
79777568Q,Agna,McTerrelly,09/07/1952,6618271,false
45174186V,Jerrold,Boden,27/01/1949,5030636,false
64499056M,Jasmin,Mulheron,23/12/1962,9238706,true
75292506X,Judith,Winsper,11/01/1945,7122003,false
38068712R,Eddi,Burgiss,12/02/1951,3430968,true
91512449L,Faun,Crumpe,07/08/1947,3429777,false
43817484D,Barr,O'Hingerty,22/05/1942,6074567,false
97182986Q,Gwendolen,Antos,23/02/1965,5032480,true
58819831R,Angel,Zannini,06/07/1950,8694998,true
59555622G,Solomon,Wiz,20/08/1956,3325953,false
14362362Y,Gilberta,Filipczak,03/04/1946,2466843,false
69158358D,Lutero,Bannell,28/11/1956,5018380,true
87184421Q,Lock,Chaulk,05/06/1955,6171237,true
47448182Y,Gavra,Derycot,26/06/1946,7599696,true
74190696R,Esmaria,Seaward,20/07/1943,7434542,true
44824622H,May,Wiggins,08/11/1961,8160760,true
40693390H,Lindie,Trusler,22/06/1955,7284793,false
61961570X,Hilliard,Vale,02/02/1960,1900032,true
98077806A,Antonio,Beathem,22/04/1938,8258168,false
13071145C,Neddy,felip,01/12/1952,6569889,true
83010362E,Benny,Gallaccio,20/12/1963,8658788,false
45850466D,Cathyleen,Vasilik,11/11/1954,6383706,false
54077692G,Hersh,Hammon,16/02/1949,6235080,true
97361669H,Edward,Lapish,16/09/1960,4395862,true
47849494Y,Cary,Edmonston,15/09/1932,6182220,true
59622314M,Moira,Clell,07/08/1938,9246634,true
60032955K,Jennee,Arne,14/02/1961,8162381,true
87657356L,Dyna,Spelsbury,04/03/1947,2962888,true
19673439V,Osbourn,Weekly,18/05/1935,6726611,true
78931023P,Glad,Ifill,14/02/1962,9431308,true
84132578X,Nathalia,Kiddle,04/03/1947,3529446,false
30251770D,Cletus,Treske,24/04/1954,4405098,true
70587024G,Logan,Nannizzi,16/12/1930,8171828,false
44809492J,Ally,Sallan,19/12/1944,9862064,false
73268611C,Tandy,Elphick,12/02/1962,5864268,true
76571828V,Bessy,Sarsfield,21/06/1942,7370142,true
79109701R,Rosalinde,Vurley,22/01/1936,1557679,false
29501121Q,Nerti,La Padula,18/03/1965,1789350,false
44743938N,Karlotta,Taggett,20/05/1956,1912028,true
99710252D,Fredrika,Mattisson,27/11/1952,4062721,false
98269283Q,Simonette,Chanson,21/04/1960,8020240,false
85218917T,Shell,Haskins,25/10/1947,8782698,false
68628685B,Sadie,Rizzini,15/02/1947,2904358,true
17282645P,Kandy,Wedmore,30/04/1935,7996765,false
94922461K,Toiboid,Yeell,14/01/1931,3713650,true
62383075E,Ax,Clere,15/02/1944,1781980,true
28622542G,Inglis,Bilson,30/08/1940,3892892,true
76439048Z,Kaye,Bailes,12/04/1962,5855021,true
91220016U,Ilysa,Needham,20/02/1947,8003841,true
56557237V,Ronald,McAw,14/12/1948,8087345,false
52120076R,Reggi,Verrier,18/06/1957,2904451,false
97624670V,Yetty,Jeannaud,25/12/1934,2465634,true
59939613U,Caz,Grishanov,09/02/1942,6510783,false
26895463T,Giacinta,Belderfield,10/07/1935,8893576,false
19048206G,Darbee,Penlington,14/08/1953,6320778,false
82910356O,Brandie,Barsam,29/04/1939,3048432,true
78678208N,Gwynne,Purdie,05/12/1952,3976994,true
45766619K,Robb,Bidder,22/10/1965,7116985,false
44546305F,Sandie,Vida,26/07/1957,8914616,true
30559096Q,Stanford,Venart,20/07/1958,4823485,false
95327245U,Camey,Cartmer,06/08/1940,8149954,false
46502217A,Adriano,Welbourn,19/03/1950,3049955,true
46116510Y,Onida,Vinau,17/11/1930,7723997,false
46636412M,Buck,Coulston,01/12/1963,2360970,false
37158593R,Amandy,Grabban,16/08/1942,3958203,true
73923031K,Rozelle,Cosbey,26/09/1930,4851665,true
21454451H,Danette,Mustard,08/12/1939,5649500,true
31073101H,Rem,Jellico,24/01/1939,3777067,false
83831421P,Sasha,Brisker,22/07/1953,9837242,true
32903201Y,Felizio,Philimore,12/11/1955,1859120,true
63044450W,Burr,Lovegrove,14/12/1950,1839071,false
56664246L,Porter,Stannion,09/09/1932,4792617,false
36991288D,Danielle,Muncaster,10/08/1931,8626463,true
87734378V,Ev,Oboy,10/02/1943,5242899,true
43688958E,Pablo,Kment,03/02/1960,7975958,true
43660887L,Emalia,Bole,21/12/1949,5789915,false
63221344U,Franny,Drinkhill,27/09/1956,4209751,false
14779973T,Camey,Hanny,12/06/1955,3939944,false
46655556A,Kasper,Arnaldo,07/04/1959,7888742,true
80150927M,Harbert,Beveridge,11/02/1958,5229569,false
89414438O,Nomi,Townes,29/07/1954,9652010,false
48436764E,Major,Cottem,29/02/1948,2569479,false
99437381T,Antony,Matt,20/06/1932,8236141,true
37706305V,Toiboid,Pettersen,08/12/1938,4868270,true
24472672N,Ozzy,Lindsay,11/01/1943,2478787,false
87893348K,Marita,Brumble,21/07/1958,7978114,true
71583993Y,Gavra,Clemensen,25/02/1933,5766111,false
70053582G,Dominica,Harbert,06/12/1948,9760350,true
78382509Q,Ariela,Crus,11/12/1965,8284285,true
74527120N,Willem,Arbuckle,17/03/1956,6649461,true
96731473K,Glenden,Biaggioli,30/03/1945,2671622,false
61191082M,Celinda,Cruttenden,26/08/1961,5997039,true
13263880E,Udall,Dhennin,17/08/1960,5055278,true
39242792E,Konstantin,Mosey,17/08/1932,6917339,true
90904801O,Ivan,Rounding,10/10/1932,3421701,true
87640372P,Emilio,Jarvis,10/10/1956,8008280,true
87187883X,Kim,Smitham,24/05/1939,7095551,false
79424168I,Gaelan,Trowbridge,28/11/1957,3070500,true
46405744P,Land,Selman,13/03/1949,5353094,false
47887640K,Blane,Irnys,08/11/1955,1762438,false
71075700Q,Susanna,Conyer,17/06/1939,5896687,false
37752163D,Siobhan,Olivo,17/02/1952,2785102,true
28808707P,Marcile,Nelle,24/07/1947,8899488,true
21014412T,Georges,Curtis,29/11/1958,1461906,true
54286797U,Charmian,De Malchar,30/09/1944,2258286,true
83953892B,Lainey,De Caville,17/02/1933,6168178,true
71546800W,Demetri,Strond,15/10/1951,9227516,true
54341400N,Augustine,Burchall,29/12/1961,8005463,false
18025276P,Laraine,Stilldale,23/11/1947,7654333,false
46630716Q,Osborn,Burkett,03/10/1939,6052348,true
60256392U,Charla,Merrisson,30/09/1964,2420193,false
73048819Y,Yorker,Storton,07/07/1957,5752760,false
87263367C,Jobyna,Ranner,11/01/1940,5458788,false
97737080D,Ermentrude,Birkenhead,04/04/1952,1560760,true
67535468J,Reggy,Domanek,16/04/1946,4603642,false
51110766S,Kerianne,Tume,04/08/1945,5033176,false
31941772L,Nicolina,Itshak,08/01/1940,7161026,true
65157281I,Fernande,Skilbeck,15/02/1946,8735095,false
40285204D,Aluin,Thorns,24/11/1958,6867331,false
39774936I,Matias,Kingdom,21/01/1961,1418499,false
83281583V,Yoshi,Chitter,01/11/1955,2536592,false
43195125U,Mel,Bennedsen,19/05/1959,7447914,false
25845437R,Meridith,Prewett,17/06/1940,6832300,false
71003383Z,Tate,MacGarvey,18/07/1965,7764074,true
81115177G,Galvin,Pavek,08/12/1943,3383678,true
78414796T,Ilse,Boutellier,07/11/1930,5590801,false
39920835I,Madalena,Wynn,10/03/1958,4303150,true
93213815O,Skipton,Feldmus,09/08/1945,5947783,true
50428108R,Lolly,Simenel,02/10/1953,2073550,false
20421655I,Kenyon,Gouldsmith,18/07/1944,5635232,true
12541588E,Vinnie,Welbelove,21/07/1933,3945889,false
32958364U,Gustavo,O'Luby,14/05/1951,6718825,false
27912462L,Otha,Dellenbrook,15/02/1953,3657249,false
78175576S,Keven,Dolphin,18/01/1947,7503575,true
49658858J,Dalston,Carlino,25/07/1962,9676161,false
67774146F,Michael,Lethby,24/05/1965,7683170,false
84294532S,Town,Farlambe,31/10/1950,4433151,false
98067473D,Manuel,Parradye,30/10/1945,8476400,false
25083996P,Brynna,Penlington,13/01/1951,2398659,true
11550087R,Dollie,Giercke,24/09/1933,1386546,false
52024887U,Justinian,Lipson,27/04/1935,9639214,false
42214732X,Maddie,Andriessen,31/07/1933,9794290,true
41838534I,Annissa,Drepp,27/07/1960,4809195,true
38796006F,Sabine,Francis,24/03/1940,2418252,false
26315862G,Andrey,Costell,18/05/1956,7332033,true
67209887H,Ara,Huggard,22/02/1935,8886216,false
31769237M,Olive,Markel,06/12/1935,3884650,false
17739342R,Flory,Marcome,16/11/1965,7866276,true
17227603F,Jesus,Winn,27/07/1947,5678743,true
72139800B,Wendye,Morten,07/09/1960,4016796,false
81011882S,Flo,Simms,06/11/1936,4980120,true
28327211H,Lucius,Pragnell,07/04/1949,4872527,false
87144629G,Vivien,Joskowicz,12/06/1951,3965670,true
69943975J,Ambrosio,De Beauchemp,28/02/1952,7606437,true
73489876T,Gunner,Sevier,10/02/1949,6265041,false
46191455S,Levin,Trubshawe,26/09/1952,9958343,false
13379249D,Anna-maria,Skingley,21/07/1963,5581251,false
66687473X,Suzy,Vassar,28/02/1962,4713539,true
14667243B,Wadsworth,Mannagh,24/06/1961,2884095,false
21336076E,Dougy,Wisniowski,08/06/1932,1659837,true
42827181Z,Nickey,Marflitt,18/06/1964,7363200,true
83647128Z,Dalis,Ipsley,06/06/1941,5607581,true
43221718B,Alick,Breslauer,27/04/1959,4320910,false
33546098H,Glenden,Angel,19/03/1937,8163380,true
33459191O,Norean,Yegorkov,04/08/1930,8604851,true
34269285N,Leonerd,Amsden,22/05/1957,8705568,true
45984168W,Gallagher,Dunan,09/11/1953,3035930,false
92673714Y,Kippy,Coulsen,30/10/1949,6651594,true
69691910L,Anica,Bourthouloume,22/07/1956,4479301,false
30873228Z,Harrison,Duinbleton,04/05/1932,6165470,false
11318180O,Marney,Beauly,28/09/1931,6072872,true
26589006P,Orelia,Macguire,17/10/1939,6575830,false
31875076K,Bettine,De Blase,28/09/1961,6011334,true
20542008L,Nedi,Jevons,27/09/1947,1394985,false
74637780X,Amata,Jeskin,28/11/1953,3368510,false
78789330Y,Amelie,McGorman,20/10/1938,6615918,true
91008832B,Hadlee,De Castri,30/08/1955,8971412,true
51974081X,Caren,Crinidge,29/12/1930,2548799,false
33517171T,Imelda,Marde,22/08/1937,4622907,false
97084574I,Cory,Leborgne,27/08/1932,4363530,false
88594157C,Clyve,Domb,09/01/1962,5621350,false
72442659Z,Nicolina,Deviney,12/06/1935,8212840,true
81783148N,Harrietta,Cyples,02/09/1941,1310700,false
58461386J,Roger,Gosland,11/08/1965,1978903,false
35047717O,Lizzie,Matantsev,15/02/1938,5947216,true
19498900L,Germaine,Widocks,22/08/1944,2766503,true
50000921O,Gage,Ardley,04/10/1956,6332059,true
33029161V,Malina,Ashby,28/03/1942,9846839,true
74015360Q,Verne,Antoniou,07/12/1953,1749232,false
78942281I,Christel,Michelle,17/11/1963,6675948,true
16443694C,Tabbie,Tibalt,17/01/1930,1418708,true
53672217K,Nikola,Milburne,12/05/1963,7424063,false
26152001H,Clare,Amiranda,03/03/1931,1549580,true
28675639D,Nichole,MacIlhagga,16/07/1934,6909480,true
62717345A,Harold,Wyd,08/12/1955,6389474,true
22678104Y,Jerrie,Preon,11/01/1963,8795820,false
82525957A,Udall,Steanyng,22/04/1957,7041499,false
51591062L,Wendye,Tinson,18/05/1953,7471980,false
68606427M,Ondrea,Hadenton,02/07/1932,7937463,false
58343479J,Jemima,Cossans,17/02/1938,6272269,true
30693078W,Yorker,Shall,01/09/1963,4717585,false
39954051E,Erma,Ollet,02/01/1956,8270569,false
12122496Q,Tatum,Gleed,07/08/1944,4212662,false
76128251J,Ardine,Hannaford,16/03/1937,5553318,true
18986558C,Jobey,Goldring,10/04/1936,2893595,false
18973027E,Karin,Jenner,31/05/1944,8654087,false
43933375R,Ellery,Kubyszek,16/05/1947,1285817,true
85250963W,Rebbecca,Pluvier,31/10/1948,9201933,false
89243902I,Prent,Mackison,19/12/1960,2710324,false
93179419O,Graeme,Escolme,04/12/1933,6045827,false
72220085O,Clary,Luebbert,20/05/1951,5136085,true
19406772N,Claus,Chiverstone,14/04/1959,2912293,false
65562702B,Lorraine,Bortoli,29/01/1948,1733663,false
62649316V,Glennie,Oleksiak,01/01/1961,9551380,false
46180063L,Lanie,De Witt,15/08/1941,5556257,false
99907146B,Kiel,Durak,08/04/1958,9155351,true
13079789Q,Charmion,Gullick,12/05/1951,1238947,true
18307315B,Devin,Horlock,10/10/1936,8605086,false
27610030W,Claudell,Heinz,14/11/1954,9357519,false
85812119Y,Hyacinthe,Cozby,02/05/1965,7825854,true
38652963L,Myra,Spear,01/01/1939,7131910,false
89266570J,Koo,Spaunton,20/03/1933,9226184,false
76924689G,Francois,Sidworth,15/09/1957,9698071,true
40030920D,Inge,Sotheron,09/12/1944,1864373,true
20442041U,Pace,Crosse,02/10/1943,7051973,true
82777921B,Stavros,Karpinski,15/04/1947,7024430,true
80820827Q,Lorrie,Jovanovic,11/04/1931,8539749,false
90368135N,Blithe,Chavey,03/10/1957,2675974,false
45437619B,Sharleen,Mulbry,03/04/1950,7720344,false
86881729E,Renelle,Feighney,02/03/1957,3456692,false
44354662S,Bowie,Thoumas,08/08/1933,3334762,false
39341121C,Raymund,Spraging,16/12/1941,3570166,false
83958562X,Burton,Ainslee,15/01/1938,2267105,false
46088895P,Sarita,Janicek,15/08/1959,1461807,true
60593179O,Morten,Skehan,26/02/1955,2857795,false
30152588D,Ignatius,Littledyke,23/08/1960,7691386,true
81802320Z,Kiersten,Pentelow,04/11/1960,8566567,false
13869147I,Rea,Mapledorum,16/11/1961,5400059,true
16185990H,Rosanne,Wiley,09/05/1944,6755600,true
47632051G,Wilona,Faunt,08/12/1951,3050499,true
13744760T,Leesa,Mellows,15/11/1955,1068666,true
38775286V,Xylina,Kenneway,25/07/1947,6843070,false
71471245D,Deanne,Powelee,29/05/1964,1174223,false
73713943Y,Nikos,Foxton,31/01/1930,8357501,false
